SKU,name,theme,weight,rating,piece_count,uom,release_year,state
90794424,The Deep End: The Shadowy Shoal,Benthic Horror,3000,9+,789,BOX,2025,RETIRED
91468175,Njord's Voyage: The Sea God's Journey,Ancient Pantheons,4500,6+,789,BOX,2023,ACTIVE
46673149,The Odyssey: Cyclops Encounter,Classics,1000,4+,584,BOX,2025,ACTIVE
62680688,Quantum Quest: The Photon Portal,Galactic Pioneers,900,13+,584,BOX,2004,RETIRED
72170100,The Timekeeper's Clock of Aeon,Ancient Wonders and Mysteries,500,9+,709,BOX,2021,RETIRED
96700462,The Starry Spire of Stellara,Ancient Wonders and Mysteries,1000,4+,278,BOX,2026,UNRELEASED
56726926,Dionysus' Revelry: The Festival of Wine,Ancient Pantheons,900,6+,789,BOX,2017,RETIRED
55475483,The Crystal Towers of Lumina,Ancient Wonders and Mysteries,4500,4+,177,BOX,2019,RETIRED
87633338,Gear-Grinder Tank: The Armored Juggernaut,Steam Era,2000,6+,350,BOX,2026,UNRELEASED
96712886,Ocean's Whisper: The Eerie Trench,Benthic Horror,150,4+,231,BOX,2026,UNRELEASED
26238125,The Eternal Flame of Pyra,Ancient Wonders and Mysteries,150,4+,789,BOX,2005,RETIRED
20929322,Hecate's Mystery: The Moonlit Ritual,Ancient Pantheons,4500,9+,231,BOX,2016,RETIRED
20732417,Nebula Navigators: The Stardust Voyager,Galactic Pioneers,2000,6+,617,BOX,2023,ACTIVE
23855024,Aurora Observatory: The Northern Lights,Arctic Conquest,2000,6+,660,BOX,2024,ACTIVE
59787514,The Count of Monte Cristo: Escape from Château d'If,Classics,500,18+,1505,BOX,2026,UNRELEASED
15278256,Deep Sea Shadows: The Kraken's Lair,Benthic Horror,1000,18+,789,BOX,2007,RETIRED
82164498,Icicle Infiltration: The Secret Tunnel,Arctic Conquest,900,18+,278,BOX,2025,ACTIVE
48028821,Solar Farm: The Energy Collector,Terraforming Mars,150,1.5+,350,BOX,2020,RETIRED
79035651,The Celestial Bridge of Astralon,Ancient Wonders and Mysteries,500,1.5+,468,BOX,2012,RETIRED
90144431,Robin Hood: Sherwood Forest Hideout,Classics,500,18+,617,BOX,2025,RETIRED
39215796,Gulliver’s Travels: Land of the Giants,Classics,3000,4+,584,BOX,2012,RETIRED
52504998,The Lost Lagoon: Phantom Waters,Benthic Horror,3000,13+,231,BOX,2025,UNRELEASED
85266556,The Radiant Reef of Luminara,Ancient Wonders and Mysteries,8400,18+,1010,BOX,2013,RETIRED
81731523,Murky Mysteries: The Creeping Kelp,Benthic Horror,2000,9+,542,BOX,2026,UNRELEASED
19114005,The Hunchback of Notre-Dame: Cathedral Rescue,Classics,150,1.5+,421,BOX,2023,ACTIVE
80655955,Snowcap Station: The Mountain Base,Arctic Conquest,8400,18+,2953,BOX,2025,UNRELEASED
97198496,Interstellar Rangers: Planetary Patrol,Galactic Pioneers,1000,4+,542,BOX,2002,RETIRED
18367499,Frostbite Facility: The Survival Shelter,Arctic Conquest,500,1.5+,617,BOX,2009,RETIRED
74039479,Terraform Team: The Atmospheric Processor,Terraforming Mars,2000,1.5+,811,BOX,2025,UNRELEASED
62353205,Freya's Garden: The Eternal Blossom,Ancient Pantheons,2000,1.5+,789,BOX,2025,UNRELEASED
51234161,Clockwork Crane: The Industrial Lifter,Steam Era,150,9+,617,BOX,2026,UNRELEASED
41399863,Ares' Battlefield: The War God's Arena,Ancient Pantheons,4500,18+,350,BOX,2026,UNRELEASED
81729288,Cybernetic Conquest: The AI Armada,Galactic Pioneers,150,1.5+,542,BOX,2026,UNRELEASED
19492526,The Mystic Mountain of Eldara,Ancient Wonders and Mysteries,900,1.5+,617,BOX,2026,UNRELEASED
12241331,Space Pirates: Nebula Raider,Galactic Pioneers,1000,18+,231,BOX,2025,UNRELEASED
54030398,The Floating Gardens of Azura,Ancient Wonders and Mysteries,2000,18+,468,BOX,2025,ACTIVE
23792176,The Luminous Lake of Solara,Ancient Wonders and Mysteries,8400,6+,789,BOX,2025,UNRELEASED
58635850,Steam-Powered Bicycle: The Velocipede,Steam Era,150,13+,177,BOX,2023,RETIRED
61509747,Robinson Crusoe: Desert Island Survival,Classics,1000,13+,350,BOX,2025,UNRELEASED
22290264,The Storm Pillars of Tempestus,Ancient Wonders and Mysteries,3000,1.5+,1010,BOX,2026,UNRELEASED
31275576,Brass Balloon: The Airborne Explorer,Steam Era,150,13+,468,BOX,2024,ACTIVE
59380140,The Enchanted Forest of Faerwyn,Ancient Wonders and Mysteries,900,4+,2953,BOX,2002,RETIRED
28343414,Ivanhoe: The Knight's Challenge,Classics,4500,4+,660,BOX,2001,RETIRED
16988648,Loki's Trickery: The Mischief Cavern,Ancient Pantheons,8400,18+,2953,BOX,2026,UNRELEASED
85285127,Rover Recon: The Surface Explorer,Terraforming Mars,1000,1.5+,468,BOX,2025,ACTIVE
65595705,Echoes from Below: The Siren's Call,Benthic Horror,900,6+,736,BOX,2004,RETIRED
17168706,The Dreaded Depths: The Haunted Atoll,Benthic Horror,6500,4+,660,BOX,2024,ACTIVE
89307752,The Illusionary Isles of Phantasia,Ancient Wonders and Mysteries,500,13+,660,BOX,2025,UNRELEASED
72603018,Martian Mysteries: Red Planet Research,Galactic Pioneers,6500,9+,736,BOX,2026,UNRELEASED
71568423,Tyr's Trial: The Hand of Justice,Ancient Pantheons,3000,13+,231,BOX,2023,ACTIVE
46708200,Steam-Powered Hovercraft: The Floating Skiff,Steam Era,1000,4+,660,BOX,2024,ACTIVE
10421203,Galactic Gladiators: Arena of the Stars,Galactic Pioneers,900,1.5+,177,BOX,2023,ACTIVE
66513789,Polar Pioneer: The Satellite Launch,Arctic Conquest,150,13+,421,BOX,2012,RETIRED
50718994,Brass Battle Bot: The Combat Automaton,Steam Era,900,13+,350,BOX,2020,RETIRED
42441663,Blizzard Base: The Storm Shelter,Arctic Conquest,900,13+,617,BOX,2023,ACTIVE
82752871,Persephone's Return: The Spring Passage,Ancient Pantheons,4500,18+,231,BOX,2024,ACTIVE
93937087,Polar Patrol: The Snow Rover,Arctic Conquest,2000,1.5+,278,BOX,2026,UNRELEASED
62668917,Cosmic Colonists: Terraforming Expedition,Galactic Pioneers,4500,9+,1010,BOX,2025,UNRELEASED
32400502,Abyssal Anomaly: The Haunted Cavern,Benthic Horror,150,9+,177,BOX,2011,RETIRED
88664403,Treasure Island: Pirate Cove,Classics,6500,6+,177,BOX,2025,UNRELEASED
59781679,Hermes' Messenger: The Winged Sandals,Ancient Pantheons,900,13+,789,BOX,2022,RETIRED
84350729,The Whispering Walls of Echoa,Ancient Wonders and Mysteries,500,13+,709,BOX,2023,ACTIVE
44893381,The Chilling Current: The Phantom Tide,Benthic Horror,1000,6+,231,BOX,2009,RETIRED
30811180,The Three Musketeers: Dueling Grounds,Classics,150,18+,350,BOX,2025,UNRELEASED
93495675,Athena's Parthenon: The Temple of Wisdom,Ancient Pantheons,150,18+,789,BOX,2008,RETIRED
20803508,Orbital Gateway: The Space Dock,Terraforming Mars,6500,13+,542,BOX,2024,ACTIVE
24355973,Thor's Hammer: The Lightning Forge,Ancient Pantheons,1000,6+,617,BOX,2025,ACTIVE
77244724,Alien Alliance: The Galactic Pact,Galactic Pioneers,8400,1.5+,542,BOX,2026,UNRELEASED
40728582,Arctic Command: The Ice Fortress,Arctic Conquest,1000,4+,278,BOX,2023,ACTIVE
97539225,Yggdrasil's Roots: The World Tree Base,Ancient Pantheons,1000,4+,231,BOX,2014,RETIRED
49035499,The Golden Grove of Aurum,Ancient Wonders and Mysteries,4500,6+,811,BOX,2012,RETIRED
88954974,Robo Rebellion: Mecha Uprising,Galactic Pioneers,6500,18+,660,BOX,2022,RETIRED
17453175,Hades' Underworld: The River Styx Crossing,Ancient Pantheons,150,1.5+,421,BOX,2023,RETIRED
21754460,Zeus's Thunderbolt: Olympus Ascent,Ancient Pantheons,500,6+,542,BOX,2025,UNRELEASED
19885636,Subzero Submarine: The Under-Ice Explorer,Arctic Conquest,900,9+,177,BOX,2026,UNRELEASED
72284197,King Arthur: Camelot Castle,Classics,3000,1.5+,617,BOX,2026,UNRELEASED
24985277,The Singing Stones of Harmonia,Ancient Wonders and Mysteries,900,4+,542,BOX,2023,ACTIVE
18840655,Terraforming Station: The Oxygen Generator,Terraforming Mars,150,9+,789,BOX,2025,UNRELEASED
80074846,Martian Marketplace: The Trade Hub,Terraforming Mars,500,1.5+,1010,BOX,2004,RETIRED
31313114,Odin's Wisdom: The Allfather's Throne,Ancient Pantheons,6500,6+,350,BOX,2026,UNRELEASED
47719696,Communication Tower: The Signal Relay,Terraforming Mars,2000,9+,584,BOX,2026,UNRELEASED
16546529,Cosmic Guardians: Astro Fortress,Galactic Pioneers,8400,18+,421,BOX,2025,UNRELEASED
25318286,The Jungle Book: Lost in the Wilderness,Classics,8400,4+,2953,BOX,2007,RETIRED
97814592,Demeter's Harvest: The Fertile Fields,Ancient Pantheons,4500,4+,2953,BOX,2026,UNRELEASED
85314939,Exploration Team: The Rover Squad,Terraforming Mars,8400,13+,278,BOX,2011,RETIRED
24888769,The Last of the Mohicans: Frontier Fort,Classics,8400,1.5+,421,BOX,2025,UNRELEASED
56502080,Arctic Aviators: The Drone Launch,Arctic Conquest,6500,6+,278,BOX,2004,RETIRED
36079198,Spaceport Station: The Landing Pad,Terraforming Mars,4500,13+,350,BOX,2025,UNRELEASED
26647973,Midnight Abyss: The Cursed Coral,Benthic Horror,6500,9+,231,BOX,2026,UNRELEASED
17130808,Haunted Reef: Ghostly Grotto,Benthic Horror,3000,4+,811,BOX,2025,ACTIVE
90667057,Clockwork Carriage: The Gear-Driven Coach,Steam Era,2000,18+,468,BOX,2024,RETIRED
56960374,Steam-Powered Wagon: The Cargo Carrier,Steam Era,8400,13+,2953,BOX,2001,RETIRED
78707598,Martian Base: The Red Planet Outpost,Terraforming Mars,150,6+,2953,BOX,2014,RETIRED
59428173,Water Harvest: The Ice Melter,Terraforming Mars,1000,9+,660,BOX,2026,UNRELEASED
39912456,The Scarlet Pimpernel: Secret Mission,Classics,8400,1.5+,584,BOX,2026,UNRELEASED
21205569,Lunar Legends: Moonbase Alpha,Galactic Pioneers,4500,1.5+,231,BOX,2026,UNRELEASED
51257229,Alien Encounter: The Xeno Outpost,Galactic Pioneers,1000,9+,542,BOX,2024,ACTIVE
84783963,Pneumatic Train: The Express Engine,Steam Era,3000,4+,709,BOX,2023,ACTIVE
27798366,Dust Storm Defender: The Shield Generator,Terraforming Mars,500,4+,584,BOX,2025,UNRELEASED
46671750,Balder's Light: The Radiant Hall,Ancient Pantheons,4500,13+,736,BOX,2024,ACTIVE
92268084,Steam-Driven Submarine: The Nautical Explorer,Steam Era,500,13+,468,BOX,2001,RETIRED
94194918,The Vanishing Fortress of Mirage,Ancient Wonders and Mysteries,4500,9+,584,BOX,2002,RETIRED
60445857,Around the World in 80 Days: Airship Adventure,Classics,6500,4+,736,BOX,2026,UNRELEASED
94726141,Pneumatic Walker: The Mechanical Strider,Steam Era,4500,1.5+,231,BOX,2025,UNRELEASED
54463973,Quantum Engineers: The Time Lab,Galactic Pioneers,6500,6+,2953,BOX,2026,UNRELEASED
18402062,Moby Dick: The Great White Hunt,Classics,2000,1.5+,709,BOX,2016,RETIRED
24740363,Mars Habitat: The Living Dome,Terraforming Mars,1000,13+,1010,BOX,2023,ACTIVE
88447816,Apollo's Chariot: The Sunlit Journey,Ancient Pantheons,500,9+,421,BOX,2025,ACTIVE
20372968,Snowstorm Surveillance: The Weather Station,Arctic Conquest,4500,1.5+,617,BOX,2024,ACTIVE
57595386,Clockwork Spider: The Mechanical Arachnid,Steam Era,6500,9+,468,BOX,2025,UNRELEASED
25266942,Brass Biplane: The Sky Scout,Steam Era,150,9+,177,BOX,2025,UNRELEASED
41367741,Hera's Court: The Queen's Palace,Ancient Pantheons,150,6+,350,BOX,2025,UNRELEASED
70907103,Abyssal Terror: The Sunken Ship,Benthic Horror,3000,9+,2953,BOX,2023,ACTIVE
64344002,Fenrir's Chains: The Wolf's Prison,Ancient Pantheons,8400,1.5+,736,BOX,2012,RETIRED
87528770,Artemis' Hunt: The Sacred Grove,Ancient Pantheons,2000,9+,177,BOX,2024,ACTIVE
82850786,Heimdall's Watch: The Bifrost Bridge,Ancient Pantheons,8400,13+,1010,BOX,2025,UNRELEASED
43944787,Martian Observatory: The Celestial Watch,Terraforming Mars,8400,13+,1010,BOX,2026,UNRELEASED
46442583,The Legend of Sleepy Hollow: Headless Horseman Chase,Classics,8400,4+,660,BOX,2011,RETIRED
99111914,The Silent Sea: The Ghostly Abyss,Benthic Horror,1000,13+,1010,BOX,2025,UNRELEASED
82690658,Lurking Below: The Haunted Hatchery,Benthic Horror,3000,1.5+,468,BOX,2025,ACTIVE
73130508,Red Planet Rescue: The Emergency Response,Terraforming Mars,3000,13+,2953,BOX,2026,UNRELEASED
60733997,Hel's Domain: The Frozen Underworld,Ancient Pantheons,6500,13+,736,BOX,2008,RETIRED
41848069,Clockwork Gatling: The Rapid-Fire Turret,Steam Era,1000,13+,421,BOX,2024,ACTIVE
42402069,The Celestial Citadel of Zenith,Ancient Wonders and Mysteries,900,6+,278,BOX,2024,ACTIVE
69895697,Cryo Cavern: The Hidden Cave,Arctic Conquest,1000,6+,584,BOX,2025,ACTIVE
43164692,Celestial Warriors: The Orion Battle,Galactic Pioneers,8400,9+,2953,BOX,2021,RETIRED
54384969,The Moonlit Monolith of Selene,Ancient Wonders and Mysteries,1000,4+,736,BOX,2024,ACTIVE
11360917,Journey to the Center of the Earth: Subterranean Expedition,Classics,4500,9+,709,BOX,2025,UNRELEASED
98018344,The Shifting Sands of Zephyra,Ancient Wonders and Mysteries,3000,4+,660,BOX,2023,RETIRED
96346312,The Watery Grave: Skeleton Shipwreck,Benthic Horror,900,4+,350,BOX,2002,RETIRED
32392015,Cogwheel Cruiser: The Mechanical Roadster,Steam Era,4500,9+,789,BOX,2024,ACTIVE
21988669,The Adventures of Tom Sawyer: Mississippi River Raft,Classics,4500,1.5+,584,BOX,2023,RETIRED
57547517,Valkyrie Flight: The Warrior's Ascent,Ancient Pantheons,3000,9+,2953,BOX,2026,UNRELEASED
32443652,The Phantom Pyramid of Spectra,Ancient Wonders and Mysteries,4500,13+,278,BOX,2024,RETIRED
92672362,The Echoing Canyon of Resona,Ancient Wonders and Mysteries,150,4+,736,BOX,2026,UNRELEASED
57698208,Glacial Gateway: The Entrance to the Unknown,Arctic Conquest,6500,6+,811,BOX,2025,ACTIVE
81570333,Steam-Powered Drill: The Earth Burrower,Steam Era,2000,18+,421,BOX,2016,RETIRED
95404043,Martian Greenhouse: The Bio-Dome,Terraforming Mars,4500,6+,468,BOX,2023,ACTIVE
45615280,Red Rock Research: The Geological Lab,Terraforming Mars,500,13+,789,BOX,2005,RETIRED
74024543,Nautical Nightmares: The Haunted Hull,Benthic Horror,900,9+,542,BOX,2012,RETIRED
67272159,Dark Waters: The Haunted Harbor,Benthic Horror,1000,13+,617,BOX,2026,UNRELEASED
29544827,Lava Tube Shelter: The Underground Refuge,Terraforming Mars,500,6+,1010,BOX,2025,UNRELEASED
59737586,Steam-Powered Excavator: The Digging Machine,Steam Era,1000,1.5+,542,BOX,2016,RETIRED
63993191,The Dreaming Caverns of Reverie,Ancient Wonders and Mysteries,4500,4+,660,BOX,2026,UNRELEASED
61157691,The Infinite Labyrinth of Chronos,Ancient Wonders and Mysteries,900,6+,231,BOX,2012,RETIRED
14334777,The Shadow Spires of Nocturn,Ancient Wonders and Mysteries,8400,9+,1505,BOX,2019,RETIRED
75031949,Frozen Frontier: The Ice Excavation,Arctic Conquest,500,13+,736,BOX,2023,ACTIVE
96737662,Submerged Secrets: The Ghostly Submarine,Benthic Horror,6500,9+,468,BOX,2025,ACTIVE
98037014,Pneumatic Airship: The Floating Fortress,Steam Era,900,18+,736,BOX,2025,UNRELEASED
78770832,Whiteout Watchtower: The Observation Post,Arctic Conquest,6500,1.5+,468,BOX,2014,RETIRED
71980475,Gear-Driven Glider: The Aerial Scout,Steam Era,6500,1.5+,617,BOX,2025,UNRELEASED
54598736,Time Travelers: Chrono Cruiser,Galactic Pioneers,150,13+,1505,BOX,2026,UNRELEASED
42903048,Gear-Driven Paddleboat: The River Rover,Steam Era,6500,9+,617,BOX,2024,ACTIVE
62709687,Steam-Powered Chariot: The Racing Machine,Steam Era,2000,9+,1010,BOX,2023,ACTIVE
96512345,Kidnapped: Highland Escape,Classics,8400,4+,2953,BOX,2004,RETIRED
75831370,The Forgotten Depths: Leviathan's Revenge,Benthic Horror,150,1.5+,278,BOX,2026,UNRELEASED
98397958,Tundra Transport: The Snowmobile Convoy,Arctic Conquest,6500,18+,231,BOX,2003,RETIRED
11685571,Glacier Lab: The Research Station,Arctic Conquest,6500,9+,177,BOX,2026,UNRELEASED
51683321,Gear-Driven Drillship: The Undersea Miner,Steam Era,1000,13+,660,BOX,2026,UNRELEASED
45686700,The Man in the Iron Mask: Prison Break,Classics,150,18+,1010,BOX,2017,RETIRED
97724864,Chilling Challenge: The Ice Climber's Ascent,Arctic Conquest,900,18+,736,BOX,2026,UNRELEASED
60942140,Steam-Powered Monocycle: The Solo Rider,Steam Era,8400,18+,1010,BOX,2025,UNRELEASED
18506990,Astro Archaeologists: The Lost Galaxy,Galactic Pioneers,6500,6+,660,BOX,2025,ACTIVE
71181554,Poseidon's Realm: The Undersea Palace,Ancient Pantheons,3000,4+,584,BOX,2025,UNRELEASED
97761535,The Creeping Coral: The Ghastly Garden,Benthic Horror,4500,18+,584,BOX,2025,UNRELEASED
37464375,The Celestial Coliseum of Aether,Ancient Wonders and Mysteries,2000,4+,736,BOX,2025,UNRELEASED
12951182,Steam-Powered Zeppelin: The Sky Cruiser,Steam Era,6500,13+,709,BOX,2025,UNRELEASED
16681125,Mars Mining: The Resource Extractor,Terraforming Mars,6500,6+,231,BOX,2023,ACTIVE
33451509,Frost Frontier: The Exploration Outpost,Arctic Conquest,2000,18+,278,BOX,2023,ACTIVE
23863728,Colony Cruiser: The Transport Shuttle,Terraforming Mars,150,13+,278,BOX,2017,RETIRED
92715521,Stellar Siege: The Meteor Defense,Galactic Pioneers,1000,6+,709,BOX,2023,ACTIVE
54929034,Brass Locomotive: The Iron Rail Runner,Steam Era,900,9+,542,BOX,2011,RETIRED
71857900,Icebreaker Mission: The Frozen Passage,Arctic Conquest,1000,9+,421,BOX,2002,RETIRED
18565869,Space Symphony: The Celestial Orchestra,Galactic Pioneers,2000,9+,468,BOX,2021,RETIRED
30295812,Galactic Explorers: Starship Odyssey,Galactic Pioneers,500,6+,2953,BOX,2023,ACTIVE
